"Date","Close"
"10/2010","265.96"
"11/2010","261.83"
"12/2010","275.81"
"1/2011","280.05"
"2/2011","286.47"
"3/2011","275.90"
"4/2011","283.78"
"5/2011","281.06"
"6/2011","272.86"
"7/2011","265.25"
"8/2011","237.43"
"9/2011","226.18"
"10/2011","243.48"
"11/2011","240.08"
"12/2011","244.54"
"1/2012","254.41"
"2/2012","264.32"
"3/2012","263.32"
"4/2012","257.28"
"5/2012","239.73"
"6/2012","251.17"
"7/2012","261.38"
"8/2012","266.23"
"9/2012","268.48"
"10/2012","270.30"
"11/2012","275.78"
"12/2012","279.68"
"1/2013","287.22"
"2/2013","289.94"
"3/2013","293.78"
"4/2013","296.72"
"5/2013","300.88"
"6/2013","285.02"
"7/2013","299.58"
"8/2013","297.32"
"9/2013","310.46"
"10/2013","322.37"
"11/2013","325.16"
"12/2013","328.26"
"1/2014","322.52"
"2/2014","338.02"
"3/2014","334.31"
"4/2014","337.89"
"5/2014","344.24"
"6/2014","341.86"
"7/2014","335.99"
"8/2014","342.00"
"9/2014","343.08"
"10/2014","336.80"
"11/2014","347.25"
"12/2014","342.54"
"1/2015","367.05"
"2/2015","392.21"
"3/2015","397.30"
"4/2015","395.79"
"5/2015","399.87"
"6/2015","381.31"
"7/2015","396.37"
"8/2015","362.79"
"9/2015","347.77"
"10/2015","375.47"
"11/2015","385.43"
"12/2015","365.81"
"1/2016","342.27"
"2/2016","333.92"
"3/2016","337.54"
"4/2016","341.48"
"5/2016","347.45"
"6/2016","329.88"
"7/2016","341.89"
"8/2016","343.53"
"9/2016","342.92"
"10/2016","338.97"
"11/2016","341.99"
"12/2016","361.42"
"1/2017","360.12"
"2/2017","370.24"
"3/2017","381.14"
"4/2017","387.09"
"5/2017","389.99"
"6/2017","379.37"
"7/2017","377.85"
"8/2017","373.88"
"9/2017","388.16"
"10/2017","395.22"
"11/2017","386.69"
"12/2017","389.18"
"1/2018","395.46"
"2/2018","379.63"
"3/2018","370.87"
"4/2018","385.32"
"5/2018","383.06"
"6/2018","379.93"
"7/2018","391.61"
"8/2018","382.26"
"9/2018","383.18"
"10/2018","361.61"
"11/2018","357.49"
"12/2018","337.65"
"1/2019","358.67"
"2/2019","372.80"
"3/2019","379.09"
"4/2019","391.35"
"5/2019","369.06"
"6/2019","384.87"
"7/2019","385.77"
"8/2019","379.48"
"9/2019","393.15"
"10/2019","396.75"
"11/2019","407.43"
"12/2019","415.84"
"1/2020","410.71"
"2/2020","375.65"
"3/2020","320.06"
"4/2020","340.03"
"5/2020","350.36"
"6/2020","360.34"
"7/2020","356.33"
"8/2020","366.51"
"9/2020","361.09"
"10/2020","342.36"
"11/2020","389.36"
"12/2020","399.03"
"1/2021","395.85"
"2/2021","404.99"
"3/2021","429.60"
"4/2021","437.39"
"5/2021","446.76"
"6/2021","452.84"
"7/2021","461.74"
"8/2021","470.88"
"9/2021","454.81"
"10/2021","475.51"
"11/2021","462.96"
"12/2021","487.80"
"1/2022","468.88"
"2/2022","453.11"
"3/2022","455.86"
"4/2022","450.39"
"5/2022","443.35"
"6/2022","407.20"
"7/2022","438.29"
"8/2022","415.12"
"9/2022","387.85"
"10/2022","412.20"
"11/2022","440.04"
"12/2022","424.89"
"1/2023","453.21"
"2/2023","461.11"
"3/2023","457.84"
"4/2023","466.64"
"5/2023","451.76"
"6/2023","461.93"
"7/2023","471.35"
"8/2023","458.19"
"9/2023","450.22"
"10/2023","433.66"
"11/2023","461.61"
"12/2023","479.02"
"1/2024","485.67"
"2/2024","494.61"
"3/2024","512.67"
"4/2024","504.89"
"5/2024","518.17"
"6/2024","511.42"
"7/2024","518.18"
"8/2024","525.05"
"9/2024","522.89"
"10/2024","505.39"
"11/2024","510.25"
"12/2024","507.62"
"1/2025","539.53"
"2/2025","557.19"
"3/2025","533.92"
"4/2025","527.48"
"5/2025","548.67"
"6/2025","541.37"
"7/2025","546.11"
"8/2025","550.14"
"9/2025","558.18"
"10/2025","571.89"
"11/2025","573.99"